"ST","STATE","ST_ABBR","FIPS","LOCATION","AREA_SQMI","E_TOTPOP","M_TOTPOP","E_HU","M_HU","E_HH","M_HH","E_POV150","M_POV150","E_UNEMP","M_UNEMP","E_HBURD","M_HBURD","E_NOHSDP","M_NOHSDP","E_UNINSUR","M_UNINSUR","E_AGE65","M_AGE65","E_AGE17","M_AGE17","E_DISABL","M_DISABL","E_SNGPNT","M_SNGPNT","E_LIMENG","M_LIMENG","E_MINRTY","M_MINRTY","E_MUNIT","M_MUNIT","E_MOBILE","M_MOBILE","E_CROWD","M_CROWD","E_NOVEH","M_NOVEH","E_GROUPQ","M_GROUPQ","EP_POV150","MP_POV150","EP_UNEMP","MP_UNEMP","EP_HBURD","MP_HBURD","EP_NOHSDP","MP_NOHSDP","EP_UNINSUR","MP_UNINSUR","EP_AGE65","MP_AGE65","EP_AGE17","MP_AGE17","EP_DISABL","MP_DISABL","EP_SNGPNT","MP_SNGPNT","EP_LIMENG","MP_LIMENG","EP_MINRTY","MP_MINRTY","EP_MUNIT","MP_MUNIT","EP_MOBILE","MP_MOBILE","EP_CROWD","MP_CROWD","EP_NOVEH","MP_NOVEH","EP_GROUPQ","MP_GROUPQ","EPL_POV150","EPL_UNEMP","EPL_HBURD","EPL_NOHSDP","EPL_UNINSUR","SPL_THEME1","RPL_THEME1","EPL_AGE65","EPL_AGE17","EPL_DISABL","EPL_SNGPNT","EPL_LIMENG","SPL_THEME2","RPL_THEME2","EPL_MINRTY","SPL_THEME3","RPL_THEME3","EPL_MUNIT","EPL_MOBILE","EPL_CROWD","EPL_NOVEH","EPL_GROUPQ","SPL_THEME4","RPL_THEME4","SPL_THEMES","RPL_THEMES","F_POV150","F_UNEMP","F_HBURD","F_NOHSDP","F_UNINSUR","F_THEME1","F_AGE65","F_AGE17","F_DISABL","F_SNGPNT","F_LIMENG","F_THEME2","F_MINRTY","F_THEME3","F_MUNIT","F_MOBILE","F_CROWD","F_NOVEH","F_GROUPQ","F_THEME4","F_TOTAL","E_DAYPOP","E_NOINT","M_NOINT","E_AFAM","M_AFAM","E_HISP","M_HISP","E_ASIAN","M_ASIAN","E_AIAN","M_AIAN","E_NHPI","M_NHPI","E_TWOMORE","M_TWOMORE","E_OTHERRACE","M_OTHERRACE","EP_NOINT","MP_NOINT","EP_AFAM","MP_AFAM","EP_HISP","MP_HISP","EP_ASIAN","MP_ASIAN","EP_AIAN","MP_AIAN","EP_NHPI","MP_NHPI","EP_TWOMORE","MP_TWOMORE","EP_OTHERRACE","MP_OTHERRACE","GeoLevel","Comparison"
"36","New York","NY","06390","ZCTA5 06390","4.046687957556","53","39","253","49","19","19","17","16","0","13","9","26","0","13","27","34","0","13","6","11","31","33","0","18","9","53","20","51","0","18","4","5","0","18","0","13","17","16","32.1","18.8","0.0","52.7","47.4","100.0","0.0","51.4","50.9","45.7","0.0","45.2","11.3","19.0","58.5","41.4","0.0","94.7","17.0","99.2","37.7","92.1","0.0","7.1","1.6","2.0","0.0","94.7","0.0","75.5","32.1","18.8","0.879","0.0","0.9635","0.0","0.996","2.8385","0.6342","0.0","0.1408","0.9944","0.0","0.9775","2.1127","0.3009","0.8062","0.8062","0.8062","0.0","0.4654","0.0","0.0","0.9735","1.4389","0.2205","7.1963","0.4192","0","0","1","0","1","2","0","0","1","0","1","2","0","0","0","0","0","0","1","1","5","601","9","14","0","13","9","19","0","13","0","13","8","16","3","7","0","13","47.4","51.8","0.0","45.2","17.0","35.0","0.0","45.2","0.0","45.2","15.1","32.1","5.7","12.1","0.0","45.2","ZCTA","State"
"36","New York","NY","10001","ZCTA5 10001","0.623821912584","27004","1827","16975","831","14375","782","5248","797","761","266","3314","531","1930","534","831","289","3428","432","2694","643","2310","499","501","215","1381","405","13460","2305","15840","898","15","23","389","135","12285","840","2213","218","20.3","2.7","4.3","1.5","23.1","3.5","9.1","2.4","3.1","1.0","12.7","1.6","10.0","2.1","8.6","1.9","3.5","1.5","5.3","1.5","49.8","7.8","93.3","2.7","0.1","0.1","2.7","0.9","85.5","2.8","8.2","0.6","0.6108","0.4574","0.5573","0.5902","0.4436","2.6593","0.5688","0.142","0.1161","0.1891","0.4707","0.8777","1.7956","0.1692","0.867","0.867","0.867","0.9853","0.271","0.7402","0.9949","0.9104","3.9018","0.9806","9.2237","0.7414","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3","3","239407","1047","389","2220","576","5206","943","5031","774","0","25","0","25","780","326","223","169","7.3","2.6","8.2","2.2","19.3","3.0","18.6","2.9","0.0","0.1","0.0","0.1","2.9","1.2","0.8","0.6","ZCTA","State"
"36","New York","NY","10002","ZCTA5 10002","0.822292240256","76518","2894","39094","1241","36028","1326","27908","2853","2833","574","14688","1367","18301","1376","4074","766","17681","1287","10028","1549","9896","1062","2211","499","18393","1640","56964","3226","35725","1677","16","28","2461","449","29828","1403","2090","39","36.8","3.5","7.6","1.4","40.8","3.5","30.0","2.0","5.4","1.0","23.1","1.7","13.1","1.8","13.0","1.4","6.1","1.4","24.7","2.0","74.4","3.1","91.4","3.2","0.0","0.1","6.8","1.2","82.8","1.8","2.7","0.1","0.9148","0.7946","0.9219","0.9741","0.7207","4.3261","0.9639","0.7296","0.1831","0.5186","0.739","0.9944","3.1647","0.8781","0.9369","0.9369","0.9369","0.979","0.0","0.9105","0.9915","0.773","3.654","0.9254","12.0817","0.9656","1","0","1","1","0","3","0","0","0","0","1","1","1","1","1","0","1","1","0","3","8","64307","8590","1110","6141","1194","19864","2190","28477","1989","74","83","24","45","1810","486","574","394","23.8","2.9","8.0","1.5","26.0","2.5","37.2","2.2","0.1","0.1","0.0","0.1","2.4","0.6","0.8","0.5","ZCTA","State"
"36","New York","NY","10003","ZCTA5 10003","0.57160277539","53877","2579","30766","956","24987","936","6397","1171","1613","315","5445","853","1574","422","1282","404","8128","792","3866","718","3604","634","278","171","1217","828","19778","3548","27261","1299","0","31","798","282","20035","905","10199","194","14.3","2.5","4.7","0.9","21.8","3.3","4.2","1.2","2.4","0.7","15.1","1.4","7.2","1.2","6.7","1.2","1.1","0.7","2.3","1.6","36.7","6.3","88.6","3.2","0.0","0.1","3.2","1.1","80.2","2.8","18.9","1.0","0.4017","0.5142","0.4934","0.2486","0.3386","1.9965","0.3389","0.2513","0.0851","0.0965","0.2217","0.7589","1.4135","0.0969","0.7977","0.7977","0.7977","0.9745","0.0","0.7852","0.9869","0.9577","3.7043","0.9368","7.912","0.5373","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3","3","138011","1458","478","2899","748","5541","943","9014","1065","51","52","27","32","2067","547","179","132","5.8","1.8","5.4","1.4","10.3","1.7","16.7","1.9","0.1","0.1","0.1","0.1","3.8","1.0","0.3","0.2","ZCTA","State"
"36","New York","NY","10004","ZCTA5 10004","0.455576421676","4579","926","2706","484","2123","394","169","101","11","16","130","84","32","28","13","19","190","131","840","341","104","82","8","16","39","73","2009","1102","2592","476","0","13","161","99","1548","318","35","13","3.7","2.1","0.4","0.5","6.1","3.8","0.9","0.8","0.3","0.4","4.1","2.9","18.3","5.1","2.3","1.9","0.4","0.7","0.9","1.8","43.9","22.4","95.8","4.0","0.0","1.5","7.6","4.4","72.9","9.4","0.8","0.2","0.0699","0.1413","0.057","0.0834","0.1213","0.4729","0.0252","0.04","0.3921","0.0412","0.1846","0.5977","1.2556","0.0769","0.8439","0.8439","0.8439","0.9898","0.0","0.9254","0.9749","0.551","3.4411","0.8558","6.0135","0.2299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","3","3","77721","12","21","252","140","229","145","1370","703","0","13","0","13","158","113","0","13","0.6","1.0","5.5","3.0","5.0","3.0","29.9","12.2","0.0","0.9","0.0","0.9","3.5","2.4","0.0","0.9","ZCTA","State"
"36","New York","NY","10005","ZCTA5 10005","0.072867872154","8801","1132","6272","438","4881","550","647","363","257","158","532","266","168","135","106","96","158","129","924","395","99","80","140","147","22","78","2730","1506","6083","451","0","19","411","200","4503","549","50","30","7.4","4.0","3.4","2.0","10.9","5.3","2.5","2.0","1.2","1.0","1.8","1.5","10.5","3.8","1.1","0.9","2.9","3.0","0.3","0.9","31.0","16.6","97.0","2.4","0.0","0.6","8.4","4.0","92.3","3.6","0.6","0.3","0.158","0.3371","0.1031","0.1426","0.1766","0.9174","0.0631","0.0327","0.1245","0.0316","0.3966","0.4406","1.026","0.0427","0.7504","0.7504","0.7504","0.9921","0.0","0.9356","0.9972","0.4963","3.4212","0.8496","6.115","0.2437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","3","3","56918","160","153","421","334","755","432","985","354","0","19","0","19","569","268","0","19","3.3","3.1","4.8","3.7","8.6","4.6","11.2","4.2","0.0","0.5","0.0","0.5","6.5","3.0","0.0","0.5","ZCTA","State"
"36","New York","NY","10006","ZCTA5 10006","0.09676874426","3736","497","2422","271","2046","254","375","282","128","81","413","171","0","13","226","255","91","89","319","115","60","56","93","70","19","59","1389","664","2308","288","0","13","117","100","1642","254","0","13","10.0","7.4","4.5","3.0","20.2","8.0","0.0","1.4","6.0","6.9","2.4","2.4","8.5","3.0","1.6","1.5","4.6","3.4","0.5","1.6","37.2","17.1","95.3","5.3","0.0","1.6","5.7","4.8","80.3","7.7","0.0","0.3","0.2562","0.4875","0.4091","0.0","0.7579","1.9107","0.301","0.0338","0.0969","0.035","0.6011","0.5076","1.2744","0.0792","0.8028","0.8028","0.8028","0.9887","0.0","0.8838","0.988","0.0","2.8605","0.6781","6.8484","0.3555","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2","2","43958","77","61","225","218","203","149","684","360","0","13","0","13","149","137","128","141","3.8","3.0","6.0","5.8","5.4","4.0","18.3","9.0","0.0","1.1","0.0","1.1","4.0","3.6","3.4","3.9","ZCTA","State"
"36","New York","NY","10007","ZCTA5 10007","0.159896035158","7506","1114","3702","538","3084","503","152","88","101","64","251","131","227","146","30","41","641","214","1534","433","139","66","16","32","66","90","2848","1435","3348","547","0","19","228","173","2133","465","506","215","2.2","1.2","2.2","1.4","8.1","4.0","4.1","2.6","0.4","0.6","8.5","2.7","20.4","4.3","2.0","0.9","0.5","1.0","1.0","1.3","37.9","18.3","90.5","6.7","0.0","1.1","7.4","5.5","69.2","9.0","6.7","2.7","0.0477","0.2213","0.0746","0.2407","0.1242","0.7085","0.0396","0.062","0.5639","0.0384","0.1886","0.6186","1.4715","0.1026","0.8073","0.8073","0.8073","0.9768","0.0","0.9225","0.9658","0.8935","3.7586","0.9527","6.7459","0.3366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","3","3","62622","45","44","628","362","966","624","1188","626","0","19","0","19","66","84","0","19","1.5","1.4","8.4","4.9","12.9","7.6","15.8","8.2","0.0","0.5","0.0","0.5","0.9","1.1","0.0","0.5","ZCTA","State"
"36","New York","NY","10009","ZCTA5 10009","0.616722269008","58418","3009","32019","1145","29670","1202","17274","1752","1580","474","8455","913","6203","718","1638","497","9148","832","6144","852","8205","1145","1240","345","4680","778","29160","3801","28316","1285","19","29","1160","401","23260","1220","990","42","29.6","2.6","4.8","1.4","28.5","2.9","13.3","1.6","2.8","0.9","15.7","1.5","10.5","1.2","14.0","1.9","4.2","1.2","8.3","1.3","49.9","6.0","88.5","2.5","0.1","0.1","3.9","1.3","78.4","3.0","1.7","0.1","0.8438","0.5284","0.7436","0.7914","0.4029","3.3101","0.7856","0.289","0.1245","0.5875","0.5544","0.9251","2.4805","0.4821","0.8676","0.8676","0.8676","0.9739","0.271","0.8302","0.9852","0.693","3.7533","0.9516","10.4115","0.8721","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","2","3","30204","4346","644","4010","631","14386","1484","7831","1301","93","123","5","13","2492","879","343","253","14.6","2.1","6.9","1.1","24.6","2.2","13.4","2.2","0.2","0.2","0.0","0.1","4.3","1.4","0.6","0.4","ZCTA","State"
"36","New York","NY","10010","ZCTA5 10010","0.368758684262","32410","2681","18966","1236","16050","1244","3026","873","452","217","3082","711","667","394","903","410","5565","1252","4414","988","2129","576","798","400","776","316","12502","3430","17320","1203","0","28","313","174","11693","969","2430","118","10.0","2.8","2.3","1.1","19.2","4.2","2.8","1.6","2.8","1.3","17.2","3.4","13.6","2.5","6.6","1.7","5.0","2.5","2.5","1.0","38.6","10.1","91.3","2.2","0.0","0.2","2.0","1.1","72.9","4.9","7.5","0.7","0.2562","0.2327","0.3578","0.1595","0.4029","1.4091","0.1617","0.3763","0.1972","0.092","0.6353","0.7769","2.0777","0.2832","0.8135","0.8135","0.8135","0.9785","0.0","0.6638","0.9749","0.9031","3.5203","0.8809","7.8206","0.5247","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","3","3","126591","1046","646","2744","1121","3186","838","5067","987","75","69","0","28","1240","441","190","192","6.5","3.8","8.5","3.3","9.8","2.4","15.6","3.1","0.2","0.2","0.0","0.1","3.8","1.3","0.6","0.6","ZCTA","State"
